Humerus_w,Humerus_x,Humerus_y,Humerus_z,Radius_w,Radius_x,Radius_y,Radius_z,Rotation_Angle,Timestamp
-0.0438773529457519,-0.9733585200875297,-0.1241781071555511,0.0376893390829454,-0.0051531769751847,0.6258674201914673,0.7577591885015322,0.054551527100809,173.39499904993073,2025-05-11 17:48:42
-0.0158218235563276,-1.0621304277577388,-0.1364750168035564,-0.0542031950005586,0.0366225652647534,0.5964844235296689,0.8601997111058681,0.0213383537158423,171.42483799155957,2025-05-11 17:48:42
0.0145910107309164,-0.9619312898423524,-0.2109847787654652,-0.0835992579324787,0.092092354339658,0.6452154747833279,0.8343909380710983,0.0607339443616125,171.4502780011409,2025-05-11 17:48:42
0.0629942186881761,-0.9346770758749756,-0.2192349323427318,-0.0482433862679041,0.0994294063692532,0.589718697851899,0.781508195759339,0.0838510841220863,170.8397171680469,2025-05-11 17:48:42
0.0010404708082475,-0.9494925969824364,-0.1428750866814821,-0.0358517422336172,0.0973867684637401,0.4964697872518971,0.8203446732325806,0.0751864523269297,164.6786197319465,2025-05-11 17:48:42
-0.0178166014264364,-0.9411370510691353,-0.1972229366376777,-0.104348545810364,0.0306779465895727,0.5689213285437303,0.839321848741623,0.1368705779368978,164.72702829782736,2025-05-11 17:48:42
0.1164628963517703,-0.9937122268881394,-0.1998771828086771,0.011684376957798,0.1186096336786744,0.5625952482161043,0.7524298968981609,0.1037711243564163,164.86352388047223,2025-05-11 17:48:42
0.0423719818470519,-0.9892633291839432,-0.177915177766262,-0.0861048191638425,0.0742988138685665,0.5493652070169573,0.7854255008307711,0.0928380551734536,160.12114262079257,2025-05-11 17:48:42
-0.0031069509982212,-1.0650239314261036,-0.2256694588750652,-0.0569760479340521,0.0615409419430273,0.5566450165897268,0.7827372691882705,0.2145677992156763,157.06015714246558,2025-05-11 17:48:42
-0.0040361633295306,-0.9167517710981152,-0.1612835071447278,-0.1157971181894547,0.0464431730252411,0.5989568486124124,0.7828977105337411,0.164599188763362,156.8732629699391,2025-05-11 17:48:42
0.0465113994217862,-0.9526530598919548,-0.1205666501324783,-0.1088129623569053,0.1206562167387324,0.544853327582924,0.8131359218717874,0.1900812042420719,149.4939938532436,2025-05-11 17:48:42
0.0513186397821302,-0.9758272138239866,-0.1555805565237476,-0.1089094113425785,0.2061530245111663,0.5327090931296842,0.8650557558409662,0.2670340802961945,145.32136268289287,2025-05-11 17:48:42
0.0720820757289649,-0.9490926524971324,-0.0646239787139227,-0.1774533622456096,0.1840708067399145,0.577171227586232,0.812628000621232,0.2432275729302482,145.75524230082038,2025-05-11 17:48:42
0.0766433009010606,-0.932202165424488,-0.1953240184148157,-0.0593459730912598,0.1202257659088626,0.5912072434340271,0.7639696431325197,0.1735513855731286,146.24960665381727,2025-05-11 17:48:42
0.0354332432130098,-0.9838122615844328,-0.1185262138041836,-0.1607441725059868,0.1559387206215351,0.5583528381567489,0.8380442333522987,0.3007529774406762,145.98960296342122,2025-05-11 17:48:42
0.100277166041085,-0.9590855670159308,-0.1774690875610231,-0.1848852386833527,0.1228519401370978,0.5963970462863156,0.8465580897635213,0.2693366874501685,142.2368818896221,2025-05-11 17:48:42
0.063906403570428,-0.987951184852446,-0.1886212086015574,-0.2142139134706703,0.1745249926884371,0.6407032068777708,0.8277471502424936,0.2498461734596834,141.95128218816748,2025-05-11 17:48:42
-0.0136238382299613,-1.0083480152602924,-0.1419216632631318,-0.1532017830463229,0.1743335977760642,0.4587257489993317,0.7986447550903097,0.3297021751966024,134.92435071012477,2025-05-11 17:48:42
